Author,Count
杜甫,3
李煜,1
白居易,3
郑思肖,1
李清照,4
苏轼,8
佚名,2
刘希夷,1
刘禹锡,1
李白,4
曹雪芹,9
王维,1
元好问,1
司马光,1
杜耒,1
杜牧,1
秦观,1
曾巩,1
李商隐,3
吕本中,1
赵嘏,1
陈叔宝,1
周邦彦,1
赵秉文,1
元稹,1
纳兰性德,4
张鸣善,1
刘克庄,1
岑参,1
朱淑真,1
赵佶,2
郑燮,1
马致远,1
王勃,1
张养浩,1
司空图,1
孙周卿,1
冯延巳,1
黄庭坚,1
徐凝,1
曹组,1
谢枋得,1
宋祁,1
杨万里,2
晏殊,1
陈知玄,1
吴融,2
严蕊,1
武则天,1
汪藻,1
王溥,1
罗隐,3
白玉蟾,1
韩愈,1
魏夫人,1
谢懋,1
王十朋,1
鱼玄机,1
柳永,1
韦应物,1
吴文英,1
雍裕之,1
乔吉,1
洪咨夔,1
