Author,Count
李白,6
杜甫,5
马致远,1
范仲淹,3
刘禹锡,4
杜牧,3
张继,1
白朴,1
王绩,1
王维,4
张籍,1
李煜,3
曹丕,1
李白(存疑),1
李商隐,2
欧阳修,3
高蟾,1
刘彻,1
韦应物,2
柳永,2
王禹偁,1
朱熹,1
苏轼,4
陆游,2
王安石,1
程颢,1
马戴,1
张翰,1
朱庭玉,1
佚名,4
赵嘏,1
司空图,1
孟浩然,1
孟郊,1
杨万里,1
李清照,2
曹雪芹,1
晏殊,1
张可久,2
王昌龄,2
白居易,4
周德清,1
秦观,1
温庭筠,1
王勃,1
朱淑真,1
吴西逸,1
纳兰性德,1
张炎,1
李贺,2
刘翰,1
林逋,1
皇甫松,1
许浑,1
蒋捷,1
道潜,1
刘长卿,1
杨广,1
张仲素,1
骆宾王,1
