Author,Count
苏轼,7
杜甫,6
李商隐,4
韩愈,1
蒋捷,2
志南,1
徐再思,1
陆游,2
秦观,3
王建,1
万俟咏,1
王驾,1
徐俯,1
杨万里,2
刘长卿,1
陈文述,1
白居易,3
韦应物,1
王安石,2
李煜,1
欧阳修,1
游次公,1
贺铸,1
黄庭坚,1
刘基,1
温庭筠,1
李贺,1
陈与义,2
杜荀鹤,1
史达祖,1
崔道融,1
谭用之,1
葛立方,1
李世民,2
纳兰性德,3
张炎,1
阎选,1
陈子龙,1
虞集,1
曾几,1
沈自晋,1
辛弃疾,2
陈著,1
朱敦儒,1
周邦彦,4
薛昭蕴,1
徐凝,1
陶渊明,1
袁去华,1
韦庄,1
徐灿,2
薛逢,1
张鸣善,1
诗经·小雅,1
柳宗元,1
李廌,1
王夫之,1
王国维,2
张养浩,1
梁启超,1
李白,2
蒋春霖,1
吴文英,2
方岳,1
李觏,1
吴潜,1
