Author,Count
柳宗元,1
卢钺,2
刘长卿,1
卢纶,2
刘义庆,1
李益,1
王维,4
白居易,4
白朴,1
杨万里,2
祖咏,2
杜甫,4
郑燮,1
李白,4
陈毅,1
高骈,1
吕本中,1
曹操,1
袁枚,1
孟郊,1
谢灵运,1
黄升,1
关汉卿,2
宋之问,1
武则天,1
陆龟蒙,2
汪莘,1
李世民,1
洪升,1
李商隐,2
张可久,1
纳兰性德,1
李贺,1
苏轼,2
鲍照,1
陶渊明,1
吴文英,1
范成大,1
刘驾,1
王建,2
钱起,1
陆游,3
李嘉祐,1
张淑芳,1
齐己,1
赵显宏,1
王国维,1
王翰,1
尤袤,1
郎士元,2
刘仲尹,1
周端臣,1
马致远,1
薛昂夫,1
胡仲参,1
舒岳祥,1
